R_PRODUCTO;C_RAMA;VALOR;VALOR_C
1;1;27418800000;28568791222
1;2;12400000;9847942.6253
1;3;0;0
1;4;0;0
1;5;0;0
1;6;0;0
1;7;0;0
1;8;0;0
1;9;0;0
1;10;0;0
1;11;0;0
1;12;0;0
1;13;0;0
1;14;0;0
1;15;0;0
1;16;0;0
1;17;0;0
1;18;0;0
1;19;0;0
1;20;0;0
1;21;0;0
1;22;0;0
1;23;0;0
1;24;0;0
1;25;0;0
1;26;0;0
1;27;0;0
1;28;0;0
1;29;0;0
1;30;0;0
1;31;0;0
1;32;0;0
1;33;0;0
1;34;0;0
1;35;0;0
1;36;44900000;71109815.138
1;37;0;0
1;38;19500000;26753434.772
1;39;0;0
1;40;0;0
1;41;200000;223405.97508
1;42;400000;458306.75467
1;43;0;0
1;44;0;0
1;45;0;0
1;46;0;0
1;47;0;0
1;48;0;0
1;49;0;0
1;50;0;0
1;51;0;0
1;52;0;0
1;53;0;0
1;54;0;0
1;55;0;0
1;56;0;0
1;57;0;0
1;58;0;0
1;59;0;0
1;60;0;0
1;61;0;0
1;62;0;0
1;63;0;0
1;64;0;0
1;65;0;0
1;66;0;0
1;67;0;0
1;68;0;0
1;69;0;0
1;70;0;0
1;71;0;0
1;72;0;0
1;73;0;0
1;74;0;0
1;75;0;0
1;76;0;0
1;77;5900000;6803711.6669
1;78;0;0
1;79;0;0
2;1;17263800000;18729758841
2;2;200000;165388.83503
2;3;0;0
2;4;0;0
2;5;0;0
2;6;0;0
2;7;0;0
2;8;0;0
2;9;0;0
2;10;0;0
2;11;0;0
2;12;0;0
2;13;0;0
2;14;0;0
2;15;0;0
2;16;0;0
2;17;0;0
2;18;0;0
2;19;0;0
2;20;0;0
2;21;0;0
2;22;0;0
2;23;0;0
2;24;0;0
2;25;0;0
2;26;0;0
2;27;0;0
2;28;0;0
2;29;0;0
2;30;0;0
2;31;0;0
2;32;0;0
2;33;0;0
2;34;0;0
2;35;0;0
2;36;0;0
2;37;0;0
2;38;52200000;74570629.093
2;39;5900000;7836820.0537
2;40;0;0
2;41;100000;116310.027
2;42;400000;477209.00027
2;43;0;0
2;44;0;0
2;45;0;0
2;46;0;0
2;47;0;0
2;48;0;0
2;49;0;0
2;50;0;0
2;51;0;0
2;52;0;0
2;53;0;0
2;54;0;0
2;55;0;0
2;56;0;0
2;57;0;0
2;58;0;0
2;59;0;0
2;60;0;0
2;61;0;0
2;62;0;0
2;63;0;0
2;64;0;0
2;65;0;0
2;66;0;0
2;67;0;0
2;68;3600000;4649147.8036
2;69;32200000;39001283.735
2;70;22100000;33326948.299
2;71;1000000;1127420.7842
2;72;0;0
2;73;0;0
2;74;0;0
2;75;0;0
2;76;0;0
2;77;0;0
2;78;0;0
2;79;0;0
3;1;503700000;513015726.1
3;2;900000;698685.35443
3;3;0;0
3;4;0;0
3;5;0;0
3;6;0;0
3;7;0;0
3;8;0;0
3;9;0;0
3;10;0;0
3;11;0;0
3;12;0;0
3;13;0;0
3;14;0;0
3;15;0;0
3;16;0;0
3;17;0;0
3;18;0;0
3;19;0;0
3;20;0;0
3;21;0;0
3;22;0;0
3;23;0;0
3;24;0;0
3;25;0;0
3;26;0;0
3;27;0;0
3;28;0;0
3;29;0;0
3;30;0;0
3;31;0;0
3;32;0;0
3;33;0;0
3;34;0;0
3;35;0;0
3;36;28000000;43346750.477
3;37;0;0
3;38;148700000;199421147.25
3;39;5100000;6359470.7942
3;40;0;0
3;41;0;0
3;42;0;0
3;43;0;0
3;44;0;0
3;45;0;0
3;46;0;0
3;47;0;0
3;48;0;0
3;49;0;0
3;50;0;0
3;51;0;0
3;52;0;0
3;53;0;0
3;54;0;0
3;55;0;0
3;56;0;0
3;57;0;0
3;58;0;0
3;59;0;0
3;60;0;0
3;61;0;0
3;62;0;0
3;63;0;0
3;64;0;0
3;65;0;0
3;66;0;0
3;67;0;0
3;68;0;0
3;69;0;0
3;70;0;0
3;71;13000000;13759172.869
3;72;0;0
3;73;0;0
3;74;0;0
3;75;0;0
3;76;0;0
3;77;0;0
3;78;0;0
3;79;0;0
4;1;4800000;5717179.1148
4;2;1888500000;1714501831.2
4;3;0;0
4;4;0;0
4;5;0;0
4;6;0;0
4;7;0;0
4;8;0;0
4;9;0;0
4;10;0;0
4;11;0;0
4;12;0;0
4;13;0;0
4;14;0;0
4;15;0;0
4;16;0;0
4;17;0;0
4;18;0;0
4;19;0;0
4;20;0;0
4;21;0;0
4;22;0;0
4;23;0;0
4;24;0;0
4;25;0;0
4;26;0;0
4;27;0;0
4;28;0;0
4;29;0;0
4;30;0;0
4;31;0;0
4;32;0;0
4;33;0;0
4;34;0;0
4;35;0;0
4;36;0;0
4;37;0;0
4;38;0;0
4;39;0;0
4;40;0;0
4;41;0;0
4;42;900000;1178788.5691
4;43;0;0
4;44;0;0
4;45;0;0
4;46;0;0
4;47;0;0
4;48;0;0
4;49;0;0
4;50;0;0
4;51;0;0
4;52;0;0
4;53;0;0
4;54;0;0
4;55;0;0
4;56;0;0
4;57;0;0
4;58;0;0
4;59;0;0
4;60;0;0
4;61;0;0
4;62;0;0
4;63;0;0
4;64;0;0
4;65;0;0
4;66;0;0
4;67;0;0
4;68;0;0
4;69;0;0
4;70;0;0
4;71;86000000;106445978.8
4;72;0;0
4;73;0;0
4;74;0;0
4;75;0;0
4;76;0;0
4;77;0;0
4;78;0;0
4;79;0;0
5;1;0;0
5;2;0;0
5;3;2727200000;2592317069.2
5;4;0;0
5;5;0;0
5;6;0;0
5;7;0;0
5;8;0;0
5;9;0;0
5;10;0;0
5;11;0;0
5;12;0;0
5;13;0;0
5;14;0;0
5;15;0;0
5;16;0;0
5;17;0;0
5;18;0;0
5;19;0;0
5;20;0;0
